iter	Logloss
0	0.6779956717
1	0.6646131867
2	0.6534281348
3	0.6424256927
4	0.6315509046
5	0.6220157723
6	0.6136739135
7	0.6033296533
8	0.5962219333
9	0.5872369799
10	0.5790940287
11	0.5727254279
12	0.5701287307
13	0.5620201322
14	0.5542031675
15	0.5492428256
16	0.5450270423
17	0.5403031159
18	0.535872776
19	0.5299745667
20	0.5275877686
21	0.5234266483
22	0.5181784778
23	0.5130388313
24	0.5090368069
25	0.5050449382
26	0.5009711396
27	0.4965972905
28	0.4899196036
29	0.4871919639
30	0.4850867694
31	0.4835199543
32	0.4787146557
33	0.4749058689
34	0.4714833021
35	0.4685998676
36	0.4648859292
37	0.4614118305
38	0.4583290225
39	0.4569219112
40	0.4520971759
41	0.4470862884
42	0.4421704354
43	0.438859741
44	0.4367765253
45	0.4342946726
46	0.4295922573
47	0.4269653736
48	0.425119835
49	0.4197791992
50	0.4181869192
51	0.4140362892
52	0.4119990786
53	0.409291158
54	0.4047084632
55	0.4008016253
56	0.3994573081
57	0.3969799396
58	0.3952005656
59	0.3906279632
60	0.3860816623
61	0.381993737
62	0.3783371909
63	0.3762137941
64	0.3745957094
65	0.3721608762
66	0.3674307131
67	0.3662435343
68	0.3639960664
69	0.3619930057
70	0.3586950316
71	0.3554383311
72	0.3525109742
73	0.3506388893
74	0.3471887236
75	0.34587942
76	0.3418508073
77	0.3372325963
78	0.3332101572
79	0.329768478
80	0.3258530567
81	0.3233336375
82	0.320325392
83	0.3167973426
84	0.3132251382
85	0.3100787551
86	0.3062222098
87	0.3025927456
88	0.2998079836
89	0.2972879915
90	0.2940862144
91	0.2915161315
92	0.2896460036
93	0.2878328921
94	0.286281551
95	0.2850547096
96	0.2849726282
97	0.2832137977
98	0.2813670884
99	0.28129301
100	0.2781260472
101	0.2762884152
102	0.27286199
103	0.2707693548
104	0.2671061895
105	0.2643286236
106	0.2625728962
107	0.2602168182
108	0.2589767117
109	0.2570743249
110	0.2555609566
111	0.252099113
112	0.2490721471
113	0.2470658032
114	0.2451083919
115	0.2409925079
116	0.2379162817
117	0.235138365
